id_order,manual_categories
309883,accessories
309883,accessories
309883,accessories
309883,accessories
309901,accessories
309901,accessories
309921,accessories
309921,accessories
309930,accessories
309643,accessories
309939,accessories
309939,accessories
309940,accessories
309940,accessories
309954,accessories
308141,accessories
309954,accessories
309989,accessories
309992,other
309992,accessories
309995,accessories
309995,accessories
309992,accessories
309989,accessories
310029,accessories
310029,accessories
310039,smartphone
310039,accessories
310051,accessories
310039,accessories
310051,accessories
310051,accessories
309316,accessories
310109,accessories
310109,accessories
310175,accessories
310178,accessories
310213,accessories
310214,accessories
310214,accessories
310228,accessories
310213,accessories
310228,accessories
310230,accessories
310228,accessories
310228,accessories
310228,accessories
310232,accessories
310230,accessories
310234,accessories
310234,accessories
310236,accessories
310236,accessories
310175,accessories
310288,accessories
310288,accessories
310288,accessories
310288,accessories
310294,accessories
310298,extended warranty
310298,extended warranty
310298,accessories
310298,accessories
310302,accessories
310302,accessories
310294,accessories
310308,accessories
310294,accessories
310308,accessories
310232,accessories
310341,laptop
310341,extended warranty
310354,accessories
310354,accessories
310363,accessories
310354,accessories
310363,accessories
310382,accessories
310390,accessories
310390,accessories
310405,accessories
310405,accessories
310409,accessories
310409,accessories
310413,accessories
310410,accessories
310418,accessories
310413,accessories
310424,accessories
310424,accessories
310453,accessories
310453,accessories
310418,accessories
310418,accessories
306501,accessories
310468,accessories
310468,accessories
310468,accessories
310478,accessories
310478,accessories
310418,accessories
310488,accessories
310488,accessories
310491,accessories
310491,accessories
310497,accessories
310497,accessories
310497,accessories
310533,accessories
310533,accessories
310554,accessories
310554,accessories
310576,accessories
310576,accessories
310583,accessories
310583,accessories
310583,accessories
310583,accessories
310382,accessories
310596,accessories
310596,accessories
310596,accessories
310596,accessories
310603,accessories
310603,accessories
288502,accessories
310609,accessories
310609,accessories
310614,accessories
310609,accessories
310614,accessories
310626,accessories
310626,accessories
310630,accessories
310630,accessories
310634,accessories
310634,accessories
310178,accessories
310645,accessories
310645,accessories
310634,accessories
310668,accessories
310668,accessories
310669,accessories
310681,accessories
310681,accessories
310669,accessories
310669,accessories
310699,accessories
310712,accessories
310712,accessories
310719,accessories
310720,accessories
310724,accessories
310724,accessories
310720,accessories
310699,accessories
310737,accessories
310737,accessories
310752,accessories
310757,accessories
310757,accessories
310765,accessories
310777,accessories
310777,accessories
310777,accessories
288502,other
310796,accessories
310796,accessories
310808,other
310808,accessories
310862,accessories
310867,accessories
310862,accessories
310867,accessories
310916,accessories
310920,accessories
310920,other
310920,accessories
310924,accessories
310924,accessories
310929,accessories
310933,accessories
310929,accessories
310933,accessories
310941,accessories
310941,accessories
310943,accessories
310943,accessories
310978,accessories
310978,accessories
310978,accessories
309429,accessories
310996,accessories
310996,accessories
306743,accessories
311051,accessories
310920,accessories
311064,accessories
311064,accessories
311092,accessories
311092,accessories
311100,accessories
311100,accessories
311108,accessories
311108,accessories
311108,accessories
311108,accessories
311110,accessories
311110,accessories
311117,accessories
311117,accessories
311117,accessories
311126,accessories
311126,accessories
311126,accessories
311140,accessories
311140,accessories
311143,accessories
311143,accessories
311143,accessories
308725,accessories
311143,accessories
311161,accessories
311161,accessories
311161,accessories
310547,accessories
310547,accessories
311219,accessories
311219,accessories
311225,accessories
311225,accessories
311225,accessories
311229,accessories
311231,extended warranty
311233,accessories
311233,accessories
311233,accessories
311231,accessories
311250,accessories
311249,accessories
311256,accessories
311250,accessories
311250,accessories
311273,accessories
311273,accessories
311256,accessories
311256,accessories
311293,accessories
311295,accessories
311295,accessories
311293,accessories
311295,accessories
311300,accessories
307629,accessories
311305,accessories
307629,accessories
311305,accessories
308141,accessories
311305,accessories
311321,accessories
311327,accessories
311331,accessories
311331,accessories
311327,accessories
310916,accessories
311351,accessories
311351,accessories
311351,accessories
308907,accessories
308907,accessories
311229,accessories
311392,accessories
311392,accessories
311392,accessories
311398,accessories
311404,accessories
311404,accessories
311404,accessories
311404,accessories
308608,accessories
311419,accessories
311419,accessories
311424,accessories
311424,accessories
311424,accessories
311441,accessories
311441,accessories
311441,accessories
311450,accessories
311450,accessories
311453,accessories
311453,other
311458,display
311458,accessories
311458,tablet
311458,accessories
311458,accessories
311458,accessories
